Index,FOF_Halo_ID_At99,Subhalo_ID_At99,FOF_Halo_ID_At92,Subhalo_ID_At92,GroupPos,Group_R_Crit200,Group_R_Crit500
237,16731208,9286920,16847730,"[164992.328125, 474796.21875, 24677.44921875]",1206.1468505859375,813.5726928710938
238,16762704,9307480,16880993,"[491471.0625, 591331.25, 457398.9375]",1169.4619140625,746.8494262695312
239,16796850,9324353,16911236,"[614190.9375, 105164.3046875, 6181.48583984375]",1157.0155029296875,751.1342163085938
240,16831490,9343569,16945188,"[57947.38671875, 409465.96875, 417599.0]",1125.8966064453125,761.167724609375
241,16860243,9363162,16975040,"[489642.40625, 87162.1171875, 109012.4765625]",1158.3408203125,669.9830932617188
242,16892124,9382653,17006557,"[587174.4375, 328102.09375, 585736.3125]",955.0389404296875,598.4194946289062
243,16921354,9403245,17036025,"[439795.375, 596333.1875, 395415.375]",1070.0191650390625,711.349853515625
244,16951023,9423090,17067850,"[230250.0625, 236471.21875, 119878.2578125]",1016.0587768554688,661.7579345703125
245,16976876,9441498,17095216,"[257041.8125, 659351.0, 446974.1875]",1056.8260498046875,650.00439453125
246,17008669,9459291,17126266,"[353330.5, 76526.453125, 303125.25]",926.584228515625,589.0997314453125
247,17037164,9477768,17156613,"[64257.34765625, 42386.265625, 64288.20703125]",1203.3599853515625,811.9981079101562
248,17068674,9497005,17189218,"[59786.24609375, 451782.5625, 148945.78125]",936.7703857421875,575.9769897460938
249,17098902,9514925,17219613,"[238227.921875, 169358.09375, 164097.375]",1144.255126953125,785.6220092773438
250,17129688,9533792,17250404,"[308302.6875, 142976.15625, 564922.375]",717.813232421875,427.95721435546875
251,17164637,9550757,17286111,"[221162.21875, 90089.2890625, 553293.1875]",1178.051513671875,673.030517578125
252,17195160,9568140,17315946,"[477366.5625, 660059.9375, 94125.7578125]",1177.7991943359375,788.1089477539062
253,17222002,9583932,17342785,"[128037.765625, 92178.890625, 328194.875]",1021.8840942382812,684.8526611328125
